instrText,stimDoor,stimDoorLure,stimFace,stimFaceLure,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Func,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,Stim,Lure,Participant*,date,expName,psychopyVersion,frameRate,
"Thank you for participating in our study!\n\n In the earlier picture task, you guessed which doors contained a prize, and which peers liked you. \n\n You then saw positive or negative feedback (green up arrow or red down arrow) from the door or peer you selected.\n\n The green up arrow indicated that the door contained a prize, or that the peer liked you. \n\n The red down arrow indicated that the door contained a loss, or that the peer disliked you. \n\n  Please press the spacebar to continue.",,,,,0,0,0,0,,,,,instrFunc,space,"Thank you for participating in our study!\n\n In the earlier picture task, you guessed which doors contained a prize, and which peers liked you. \n\n You then saw positive or negative feedback (green up arrow or red down arrow) from the door or peer you selected.\n\n The green up arrow indicated that the door contained a prize, or that the peer liked you. \n\n The red down arrow indicated that the door contained a loss, or that the peer disliked you. \n\n  Please press the spacebar to continue.",19.73942890000012,17.53657750000002,37.48911315999976,2022-04-12 14:21:12.126188,2022-04-12 14:21:32.071338,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
"You will now see a series of doors and peers, some of which you saw during the earlier picture task, and some which you have never seen before.\n\n For doors/peers that you remember getting feedback from, your job is to RECALL whether that door or peer gave you positive or negative feedback. \n\n Press '1' to indicate that you recall positive feedback. \n\n Press '2' to indicate that you recall negative feedback.\n\n You will see a green and red circle under the word 'RECALL' on the left side of the screen to remind you what to press. \n\n Press the spacebar to continue.",,,,,0,1,1,1,,,,,instrFunc,space,"You will now see a series of doors and peers, some of which you saw during the earlier picture task, and some which you have never seen before.\n\n For doors/peers that you remember getting feedback from, your job is to RECALL whether that door or peer gave you positive or negative feedback. \n\n Press '1' to indicate that you recall positive feedback. \n\n Press '2' to indicate that you recall negative feedback.\n\n You will see a green and red circle under the word 'RECALL' on the left side of the screen to remind you what to press. \n\n Press the spacebar to continue.",27.187073100000134,37.43248659999995,64.78328292999981,2022-04-12 14:21:32.073333,2022-04-12 14:21:59.414515,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
"For doors/peers that you don't remember getting feedback from, your job is to PREDICT whether you think that door or peer WOULD HAVE given you positive or negative feedback. \n\n Press '9' if you predict that you would have received positive feedback.\n\n Press '0' if you predict that you would have received negative feedback. \n\n You will see a green and red circle under the word 'PREDICT' on the right side of the screen to remind you what to press. \n\n Please press the spacebar to continue.",,,,,0,2,2,2,,,,,instrFunc,space,"For doors/peers that you don't remember getting feedback from, your job is to PREDICT whether you think that door or peer WOULD HAVE given you positive or negative feedback. \n\n Press '9' if you predict that you would have received positive feedback.\n\n Press '0' if you predict that you would have received negative feedback. \n\n You will see a green and red circle under the word 'PREDICT' on the right side of the screen to remind you what to press. \n\n Please press the spacebar to continue.",23.23178359999997,64.75129249999986,88.12241322999989,2022-04-12 14:21:59.416511,2022-04-12 14:22:22.777440,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press. \n\n On the next screen we will show you what those prompts look like, so that you know exactly what to expect. \n\n  You will start with either doors or peers, and then switch halfway through. \n\n Please press the spacebar to continue.",,,,,0,3,3,3,,,,,instrFunc,space,"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press. \n\n On the next screen we will show you what those prompts look like, so that you know exactly what to expect. \n\n  You will start with either doors or peers, and then switch halfway through. \n\n Please press the spacebar to continue.",12.87714979999987,88.06938109999987,101.03366312999992,2022-04-12 14:22:22.779435,2022-04-12 14:22:35.733462,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,,,,,,,,,,,,,imgtextFunc,space,"Here is what the screen will look like while you go through all of the doors and peers.

Please let the experimenter know if you have any questions.










Remember to keep your hands on the keyboard at all times.

 Whenever you're ready, press the spacebar to start the task.",9.633323699999892,101.4121502999999,111.49676085999977,2022-04-12 14:22:35.760388,2022-04-12 14:22:45.842167,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD015.jpg,0,FF015.jpg,0,,,,,0,0,0,14,imgFunc,1,NA,4.583918299999823,111.41489879999995,116.2282773999998,2022-04-12 14:22:45.988773,2022-04-12 14:22:50.787815,FF015.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD507.jpg,1,L_MF507.jpg,1,,,,,0,1,1,106,imgFunc,2,NA,4.597124500000064,116.21907279999982,121.00664166000001,2022-04-12 14:22:50.813746,2022-04-12 14:22:55.600822,L_MF507.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD518.jpg,1,L_FF518.jpg,1,,,,,0,2,2,57,imgFunc,2,NA,10.167713999999933,121.05383579999989,131.4450370899997,2022-04-12 14:22:55.630746,2022-04-12 14:23:06.008709,L_FF518.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD033.jpg,0,MF033.jpg,0,,,,,0,3,3,92,imgFunc,2,NA,16.532225199999857,131.46309509999992,148.20136795999997,2022-04-12 14:23:06.037632,2022-04-12 14:23:22.777438,MF033.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD509.jpg,1,L_FF509.jpg,1,,,,,0,4,4,48,imgFunc,2,NA,1.5294649999998455,148.26282189999984,150.03918788999954,2022-04-12 14:23:22.810362,2022-04-12 14:23:24.575582,L_FF509.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD513.jpg,1,L_FF513.jpg,1,,,,,0,5,5,52,imgFunc,0,NA,1.8588479000000007,150.01911169999994,152.09460495999997,2022-04-12 14:23:24.600515,2022-04-12 14:23:26.673747,L_FF513.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD003.jpg,0,FF003.jpg,0,,,,,0,6,6,2,imgFunc,1,NA,1.283698700000059,152.1074779999999,153.5805373600001,2022-04-12 14:23:26.699669,2022-04-12 14:23:28.172460,FF003.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD030.jpg,0,FF030.jpg,0,,,,,0,7,7,29,imgFunc,1,NA,0.7183348000000933,157.1277118999999,161.58866215999979,2022-04-12 14:23:28.187401,2022-04-12 14:23:32.635819,FF030.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD027.jpg,0,MF027.jpg,0,,,,,0,8,8,86,imgFunc,0,NA,3.0574739999999565,158.1377673999998,161.46293625999965,2022-04-12 14:23:32.660753,2022-04-12 14:23:35.983780,MF027.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD508.jpg,1,L_MF508.jpg,1,,,,,0,9,9,107,imgFunc,1,NA,1.2139840999998341,161.42770599999994,162.84956565999983,2022-04-12 14:23:36.010709,2022-04-12 14:23:37.432869,L_MF508.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD006.jpg,0,FF006.jpg,0,,,,,0,10,10,5,imgFunc,0,NA,0.8663616999999704,162.8813235,163.95055059000015,2022-04-12 14:23:37.468780,2022-04-12 14:23:38.530903,FF006.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD006.jpg,0,MF006.jpg,0,,,,,0,11,11,65,imgFunc,2,NA,1.5686815000001388,163.99699689999989,165.79677109,2022-04-12 14:23:38.559825,2022-04-12 14:23:40.346003,MF006.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD002.jpg,0,MF002.jpg,0,,,,,0,12,12,61,imgFunc,1,NA,0.9987839000000349,165.7660664,166.94107855999982,2022-04-12 14:23:40.370936,2022-04-12 14:23:41.544766,MF002.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD501.jpg,1,L_MF501.jpg,1,,,,,0,13,13,100,imgFunc,0,NA,1.5126940000000104,166.9885562999998,168.7133352599999,2022-04-12 14:23:41.569699,2022-04-12 14:23:43.293074,L_MF501.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD013.jpg,0,FF013.jpg,0,,,,,0,14,14,12,imgFunc,1,NA,0.7925990999999613,168.7359462999998,169.7226711599999,2022-04-12 14:23:43.321003,2022-04-12 14:23:44.309330,FF013.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD025.jpg,0,FF025.jpg,0,,,,,0,15,15,24,imgFunc,0,NA,1.09133410000004,169.73628769999982,171.00558806000004,2022-04-12 14:23:44.337256,2022-04-12 14:23:45.607825,FF025.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD040.jpg,0,FF040.jpg,0,,,,,0,16,16,39,imgFunc,1,NA,0.7856852999998409,171.0491672999999,172.04384515999982,2022-04-12 14:23:45.633757,2022-04-12 14:23:46.628072,FF040.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD018.jpg,0,MF018.jpg,0,,,,,0,17,17,77,imgFunc,1,NA,1.4398943000001054,172.12035449999985,173.79624341999988,2022-04-12 14:23:46.676944,2022-04-12 14:23:48.342443,MF018.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD005.jpg,0,FF005.jpg,0,,,,,0,18,18,4,imgFunc,2,NA,2.889078900000186,173.78457689999982,176.8716071599997,2022-04-12 14:23:48.367375,2022-04-12 14:23:51.453045,FF005.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD021.jpg,0,MF021.jpg,0,,,,,0,19,19,80,imgFunc,1,NA,1.0516943000000083,176.8888497999999,178.14749725999968,2022-04-12 14:23:51.477977,2022-04-12 14:23:52.734584,MF021.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD519.jpg,1,L_FF519.jpg,1,,,,,0,20,20,58,imgFunc,0,NA,1.1241245999999592,178.16692169999988,179.49988455999983,2022-04-12 14:23:52.756525,2022-04-12 14:23:54.083941,L_FF519.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD022.jpg,0,MF022.jpg,0,,,,,0,21,21,81,imgFunc,1,NA,1.279211499999974,179.53227829999992,181.01892116000022,2022-04-12 14:23:54.111868,2022-04-12 14:23:55.599849,MF022.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD029.jpg,0,MF029.jpg,0,,,,,0,22,22,88,imgFunc,1,NA,0.980479399999922,181.03509299999996,182.2052501600001,2022-04-12 14:23:55.626775,2022-04-12 14:23:56.797615,MF029.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD512.jpg,1,L_FF512.jpg,1,,,,,0,23,23,51,imgFunc,2,NA,1.3022505999999794,182.22885999999994,183.72589775999973,2022-04-12 14:23:56.820554,2022-04-12 14:23:58.313523,L_FF512.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD002.jpg,0,FF002.jpg,0,,,,,0,24,24,1,imgFunc,2,NA,0.8081392999999935,183.7410121999999,184.73783305999996,2022-04-12 14:23:58.336460,2022-04-12 14:23:59.329780,FF002.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD516.jpg,1,L_FF516.jpg,1,,,,,0,25,25,55,imgFunc,1,NA,0.6111402999999882,184.77834719999987,185.5981045599999,2022-04-12 14:23:59.357710,2022-04-12 14:24:00.178486,L_FF516.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD506.jpg,1,L_FF506.jpg,1,,,,,0,26,26,45,imgFunc,1,NA,1.1413761999999679,185.6159353999999,186.9594595599997,2022-04-12 14:24:00.202423,2022-04-12 14:24:01.543801,L_FF506.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD518.jpg,1,L_MF518.jpg,1,,,,,0,27,27,117,imgFunc,0,NA,3.387558499999841,186.97452019999992,190.54738656000018,2022-04-12 14:24:01.569732,2022-04-12 14:24:05.141088,L_MF518.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD004.jpg,0,FF004.jpg,0,,,,,0,28,28,3,imgFunc,1,NA,0.9719923000000108,190.5800807999999,191.75795646000006,2022-04-12 14:24:05.165025,2022-04-12 14:24:06.339866,FF004.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD007.jpg,0,FF007.jpg,0,,,,,0,29,29,6,imgFunc,2,NA,0.897023900000022,191.7833607,192.89906505999988,2022-04-12 14:24:06.361807,2022-04-12 14:24:07.472808,FF007.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD036.jpg,0,MF036.jpg,0,,,,,0,30,30,95,imgFunc,1,NA,0.764914299999873,192.92057139999997,193.8917309599999,2022-04-12 14:24:07.499736,2022-04-12 14:24:08.471112,MF036.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD024.jpg,0,MF024.jpg,0,,,,,0,31,31,83,imgFunc,0,NA,1.0725958000000446,193.913006,195.18996345999994,2022-04-12 14:24:08.496046,2022-04-12 14:24:09.770604,MF024.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD039.jpg,0,FF039.jpg,0,,,,,0,32,32,38,imgFunc,1,NA,0.9925797000000784,195.19611529999997,196.38019566000003,2022-04-12 14:24:09.792544,2022-04-12 14:24:10.971363,FF039.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD517.jpg,1,L_FF517.jpg,1,,,,,0,33,33,56,imgFunc,1,NA,1.2191150999999536,196.42306359999998,197.84464935999995,2022-04-12 14:24:10.999287,2022-04-12 14:24:12.422445,L_FF517.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD519.jpg,1,L_MF519.jpg,1,,,,,0,34,34,118,imgFunc,0,NA,1.4360200000000987,197.86069729999986,199.4970775600002,2022-04-12 14:24:12.447378,2022-04-12 14:24:14.082961,L_MF519.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD028.jpg,0,FF028.jpg,0,,,,,0,35,35,27,imgFunc,0,NA,0.6215935000000172,199.51832799999988,200.33925646000012,2022-04-12 14:24:14.110888,2022-04-12 14:24:14.932668,FF028.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD005.jpg,0,MF005.jpg,0,,,,,0,36,36,64,imgFunc,1,NA,1.1605667999999696,200.37529789999985,201.73535165999965,2022-04-12 14:24:14.957601,2022-04-12 14:24:16.315933,MF005.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD511.jpg,1,L_FF511.jpg,1,,,,,0,37,37,50,imgFunc,0,NA,2.1973876999998083,201.7698922999998,204.17847705999975,2022-04-12 14:24:16.340867,2022-04-12 14:24:18.747376,L_FF511.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD020.jpg,0,MF020.jpg,0,,,,,0,38,38,79,imgFunc,2,NA,1.3561142000000928,204.18683179999994,205.7398988599998,2022-04-12 14:24:18.774296,2022-04-12 14:24:20.328101,MF020.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD009.jpg,0,MF009.jpg,0,,,,,0,39,39,68,imgFunc,9,NA,1.5583429999999225,205.74907689999986,207.49991735999993,2022-04-12 14:24:20.349045,2022-04-12 14:24:22.093334,MF009.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD511.jpg,1,L_MF511.jpg,1,,,,,0,40,40,110,imgFunc,9,NA,0.8435042000000976,207.5304024999998,208.5699824599999,2022-04-12 14:24:22.120262,2022-04-12 14:24:23.159456,L_MF511.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD008.jpg,0,FF008.jpg,0,,,,,0,41,41,7,imgFunc,2,NA,1.0802212000000964,208.58191799999986,209.8387636599998,2022-04-12 14:24:23.185388,2022-04-12 14:24:24.441994,FF008.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD515.jpg,1,L_FF515.jpg,1,,,,,0,42,42,54,imgFunc,1,NA,0.8829427000000578,209.87672989999987,210.94955125999968,2022-04-12 14:24:24.467924,2022-04-12 14:24:25.540028,L_FF515.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD026.jpg,0,FF026.jpg,0,,,,,0,43,43,25,imgFunc,2,NA,0.7496466000000055,210.9750067,211.92429576000018,2022-04-12 14:24:25.561970,2022-04-12 14:24:26.506420,FF026.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD009.jpg,0,FF009.jpg,0,,,,,0,44,44,8,imgFunc,1,NA,0.8546527000000879,211.9564922999998,213.03089295999962,2022-04-12 14:24:26.532352,2022-04-12 14:24:27.605458,FF009.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD503.jpg,1,L_MF503.jpg,1,,,,,0,45,45,102,imgFunc,2,NA,0.9517444999999043,213.04382279999982,214.2028369599998,2022-04-12 14:24:27.630386,2022-04-12 14:24:28.788262,L_MF503.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD040.jpg,0,MF040.jpg,0,,,,,0,46,46,99,imgFunc,1,NA,0.8038203999999496,214.21830079999995,215.21054246000017,2022-04-12 14:24:28.813192,2022-04-12 14:24:29.804034,MF040.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD509.jpg,1,L_MF509.jpg,1,,,,,0,47,47,108,imgFunc,0,NA,2.9815719999999146,215.2405965999999,218.41034095999976,2022-04-12 14:24:29.830962,2022-04-12 14:24:33.000403,L_MF509.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD003.jpg,0,MF003.jpg,0,,,,,0,48,48,62,imgFunc,0,NA,0.9896177999999054,218.42411459999994,219.61124675999986,2022-04-12 14:24:33.022344,2022-04-12 14:24:34.205155,MF003.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD010.jpg,0,FF010.jpg,0,,,,,0,49,49,9,imgFunc,0,NA,0.9699338000000353,219.6265100999999,220.79255199,2022-04-12 14:24:34.230084,2022-04-12 14:24:35.381974,FF010.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD037.jpg,0,MF037.jpg,0,,,,,0,50,50,96,imgFunc,0,NA,0.7558064999998351,220.82539069999984,221.78389875999983,2022-04-12 14:24:35.407904,2022-04-12 14:24:36.364321,MF037.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD035.jpg,0,MF035.jpg,0,,,,,0,51,51,94,imgFunc,1,NA,0.9919949999998607,221.8090459,223.00425555999982,2022-04-12 14:24:36.388257,2022-04-12 14:24:37.580039,MF035.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD512.jpg,1,L_MF512.jpg,1,,,,,0,52,52,111,imgFunc,2,NA,0.8910015999999814,223.01435319999996,224.10596216,2022-04-12 14:24:37.605970,2022-04-12 14:24:38.696026,L_MF512.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD038.jpg,0,FF038.jpg,0,,,,,0,53,53,37,imgFunc,0,NA,1.075459599999931,224.1403289,225.4170131599999,2022-04-12 14:24:38.720959,2022-04-12 14:24:39.995518,FF038.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD025.jpg,0,MF025.jpg,0,,,,,0,54,54,84,imgFunc,1,NA,1.8898019999999178,225.41843659999995,227.49636185999998,2022-04-12 14:24:40.018458,2022-04-12 14:24:42.092856,MF025.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD031.jpg,0,MF031.jpg,0,,,,,0,55,55,90,imgFunc,1,NA,1.4952186999998958,227.52778079999985,229.22007535999978,2022-04-12 14:24:42.117789,2022-04-12 14:24:43.808224,MF031.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD026.jpg,0,MF026.jpg,0,,,,,0,56,56,85,imgFunc,1,NA,0.7202847999999449,229.23938929999986,230.1581352600001,2022-04-12 14:24:43.829171,2022-04-12 14:24:44.741704,MF026.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD504.jpg,1,L_MF504.jpg,1,,,,,0,57,57,103,imgFunc,2,NA,0.6692471000001206,230.17503669999996,231.03129916000012,2022-04-12 14:24:44.767634,2022-04-12 14:24:45.623325,L_MF504.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD034.jpg,0,MF034.jpg,0,,,,,0,58,58,93,imgFunc,0,NA,3.7334293999999772,231.06590219999998,235.00862826000002,2022-04-12 14:24:45.647259,2022-04-12 14:24:49.586623,MF034.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD520.jpg,1,L_MF520.jpg,1,,,,,0,59,59,119,imgFunc,1,NA,3.992282500000101,235.0195202,239.20806816000004,2022-04-12 14:24:49.612554,2022-04-12 14:24:53.799248,L_MF520.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD001.jpg,0,MF001.jpg,0,,,,,0,60,60,60,imgFunc,2,NA,1.1178824999999506,239.20181149999985,240.49428685999987,2022-04-12 14:24:53.816204,2022-04-12 14:24:55.098745,MF001.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD019.jpg,0,MF019.jpg,0,,,,,0,61,61,78,imgFunc,1,NA,1.0561370999998871,240.50305639999988,241.73085816000003,2022-04-12 14:24:55.122678,2022-04-12 14:24:56.347370,MF019.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD504.jpg,1,L_FF504.jpg,1,,,,,0,62,62,43,imgFunc,2,NA,0.8140445999999883,241.81112749999988,242.85601936000012,2022-04-12 14:24:56.371306,2022-04-12 14:24:57.413498,L_FF504.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD032.jpg,0,FF032.jpg,0,,,,,0,63,63,31,imgFunc,1,NA,0.7042205000000195,242.83437949999984,243.7261008600001,2022-04-12 14:24:57.438425,2022-04-12 14:24:58.329020,FF032.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
